Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
producto-test,producto test,"",altoquerecords.cl,,,"",true,Title,Default Title,,,,,,0.0,shopify,0,deny,manual,600,,false,true,,,,,false,,,,,,,,,,,,,,,,,kg,,600,active
nena-99-lufballons,NENA - 99 LUFBALLOONS,"",altoquerecords.cl,,vinilo usado,"1983, EPIC, LP, ORIGINALES DE ÉPOCA, POP, USADO, VINILO",true,Title,Default Title,,,,,EPIC-270,220.0,shopify,1,deny,manual,19900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/0.jpg?v=1633031665,1,,false,,,,,,,,,,,,,,,,,g,,,active
nena-99-lufballons,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/1.jpg?v=1633031858,2,,,,,,,,,,,,,,,,,,,,,,
nena-99-lufballons,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/2.jpg?v=1633031858,3,,,,,,,,,,,,,,,,,,,,,,
vince-guaraldi-peanuts-portraits-the-classic-character-themes,VINCE GUARALDI  - PEANUTS PORTRAITS - THE CLASSIC CHARACTER THEMES,"<p>LP</p>
<p>2010</p>
<p>CRAFT RECORDINGS</p>
<p>JAZZ - OST - SOUNDTRACK</p>",altoquerecords.cl,,vinilo nuevo,"2010, JAZZ, LP, nuevo, OST, PEANUTS PORTRAITS, SOUNDTRACK, THE CLASSIC CHARACTER THEMES, VINCE GUARALDI, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,29900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/046.jpg?v=1618773771,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-trojan-records-soul-reggae-vol-1,VARIOS ARTISTAS - TROJAN RECORDS SOUL REGGAE VOL. 1,"<p>LP</p>
<p>2015</p>
<p>TROJAN RECORDS</p>
<p>REGGAE - REGGAE LOVERS</p>",altoquerecords.cl,,vinilo nuevo,"2015, LP, nuevo, REGGAE, TROJAN RECORDS, TROJAN RECORDS SOUL REGGAE VOL. 1, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/045.jpg?v=1618773546,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-right-on-time-trojan-rock-steady,VARIOS ARTISTAS - RIGHT ON TIME: TROJAN ROCK STEADY,"<p>DOBLE LP</p>
<p>2021</p>
<p>MUSIC ON VINYL</p>
<p>REGGAE - ROCKSTEADY</p>",altoquerecords.cl,,vinilo nuevo,"2021, DOBLE LP, MUSIC ON VINYL, nuevo, REGGAE, RIGHT ON TIME: TROJAN ROCK STEADY, ROCKSTEDY, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,440.0,shopify,0,deny,manual,42900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/044.jpg?v=1618773228,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-beavis-and-butt-head-do-america,VARIOS ARTISTAS - BEAVIS AND BUTT-HEAD DO AMERICA,"<p>LP</p>
<p>PICTURE DISC</p>
<p>2016</p>
<p>GEFFEN RECORDS</p>
<p>HIP HOP - ROCK - FUNK - SOUL - POP</p>",altoquerecords.cl,,vinilo nuevo,"2016, FUNK, GEFFEN RECORDS, HIP HOP, LP, nuevo, PICTURE DISC, POP, SOUL, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/043.jpg?v=1618772389,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-studio-one-women-the-original,VARIOS ARTISTAS - STUDIO ONE WOMEN - THE ORIGINAL,"<p>DOBLE LP</p>
<p>2020</p>
<p>SOUL JAZZ RECORDS</p>
<p>REGGAE - SKA - ROCKSTEDY - SOUL </p>",altoquerecords.cl,,vinilo nuevo,"2020, DOBLE LP, REGGAE, ROCKSTEDY, SKA, SOUL, SOUL JAZZ RECORDS, STUDIO ONE WOMEN - THE ORIGINAL, VARIOS ARTISTAS",true,Title,Default Title,,,,,,440.0,shopify,0,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/042.jpg?v=1618772061,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-black-riot-early-jungle-rave-and-hardcore,"VARIOS ARTISTAS - BLACK RIOT - EARLY JUNGLE, RAVE AND HARDCORE","<p>DOBLE LP</p>
<p>2020</p>
<p>SOUL JAZZ RECORDS</p>
<p>ELECTRONICA - JUNGLE - RAVE</p>",altoquerecords.cl,,vinilo nuevo,"2020, BLACK RIOT - EARLY JUNGLE, DOBLE LP, ELECTRONICA, JUNGLE, RAVE, RAVE AND HARDCORE, SOUL JAZZ RECORDS, VARIOS ARTISTAS",true,Title,Default Title,,,,,,440.0,shopify,1,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/041.jpg?v=1618771952,1,,false,,,,,,,,,,,,,,,,,g,,,active
